ISS.UTCGregorian           ISS.EarthMJ2000Eq.X       ISS.EarthMJ2000Eq.Y       ISS.EarthMJ2000Eq.Z       debris.UTCGregorian        debris.EarthMJ2000Eq.X    debris.EarthMJ2000Eq.Y    debris.EarthMJ2000Eq.Z    debris2.UTCGregorian       debris2.EarthMJ2000Eq.X   debris2.EarthMJ2000Eq.Y   debris2.EarthMJ2000Eq.Z   
29 Nov 2024 01:09:30.054   5122.985770365657         -3141.208469844883        -3161.185845884059        29 Nov 2024 01:09:30.054   2303.0593053321           -6989.980380412448        3372.127288048986         29 Nov 2024 01:09:30.054   -4093.819442217994        -9595.332157920371        10001.46519130557         
29 Nov 2024 01:11:01.417   5155.003725374976         -2585.147437971998        -3585.093880395103        29 Nov 2024 01:11:01.417   2701.833264158652         -6966.911616724508        2890.228942127861         29 Nov 2024 01:11:01.417   -3816.101062473169        -9924.884015337257        9990.659869895992         
29 Nov 2024 01:12:32.809   5132.30618258196          -2001.469868052473        -3970.964520556501        29 Nov 2024 01:12:32.809   3083.228603761336         -6898.743057104908        2389.452554222192         29 Nov 2024 01:12:32.809   -3534.206944388793        -10243.90650359285        9969.140962145624         
29 Nov 2024 01:14:04.229   5055.115711925248         -1396.35568821209         -4314.681611572525        29 Nov 2024 01:14:04.229   3444.095904207344         -6784.381954177396        1872.507434910897         29 Nov 2024 01:14:04.229   -3248.534465085486        -10552.34866771084        9937.210648766883         
29 Nov 2024 01:15:35.681   4924.230977456647         -776.2140589497227        -4612.574145239607        29 Nov 2024 01:15:35.681   3781.197458635259         -6622.964475091682        1342.404091248927         29 Nov 2024 01:15:35.681   -2959.462824391779        -10850.16781963024        9895.161331172783         
29 Nov 2024 01:17:07.162   4741.022218298846         -147.6293526416704        -4861.449672452697        29 Nov 2024 01:17:07.162   4091.219238520768         -6413.904964515477        802.4830343344885         29 Nov 2024 01:17:07.162   -2667.360634118742        -11137.32243537343        9843.27722389773          
29 Nov 2024 01:18:38.671   4507.418780824094         482.7150145371907         -5058.634883604508        29 Nov 2024 01:18:38.671   4370.802725497123         -6156.947707920701        256.4227190563699         29 Nov 2024 01:18:38.671   -2372.584015265524        -11413.7754476651         9781.834986060641         
29 Nov 2024 01:20:10.208   4225.881253248533         1108.126730888928         -5202.009796910698        29 Nov 2024 01:20:10.208   4616.588070809053         -5852.214269553449        -291.7694881005433        29 Nov 2024 01:20:10.208   -2075.46867841266         -11679.50186741819        9711.102203394055         
29 Nov 2024 01:21:41.770   3899.393323198349         1721.934426890203         -5290.020280717548        29 Nov 2024 01:21:41.770   4825.241954580801         -5500.282515131532        -837.7212576428436        29 Nov 2024 01:21:41.770   -1776.350499566628        -11934.47044022364        9631.342326993883         
29 Nov 2024 01:23:13.351   3531.421267808729         2317.589542046553         -5321.707107748879        29 Nov 2024 01:23:13.351   4993.528291533727         -5102.238783299888        -1376.732149765229        29 Nov 2024 01:23:13.351   -1475.55249402406         -12178.65676130821        9542.812570820957         
29 Nov 2024 01:24:44.948   3125.875572850838         2888.737254987659         -5296.715482671833        29 Nov 2024 01:24:44.948   5118.374592118058         -4659.738395380024        -1903.798290132324        29 Nov 2024 01:24:44.948   -1173.385282083305        -12412.04276236007        9445.763957085363         
29 Nov 2024 01:26:16.560   2687.064831462075         3429.288344308344         -5215.297070728703        29 Nov 2024 01:26:16.560   5196.949347694656         -4175.059304620216        -2413.655830923686        29 Nov 2024 01:26:16.560   -870.1454775372154        -12634.6176482754         9340.440589224339         
29 Nov 2024 01:27:48.181   2219.66661360113          3933.463835026412         -5078.310704433033        29 Nov 2024 01:27:48.181   5226.746900631377         -3651.171705607323        -2900.819398568305        29 Nov 2024 01:27:48.181   -566.1280554017541        -12846.36886888425        9227.083981626347         
29 Nov 2024 01:29:19.806   1728.668191525731         4395.873795900374         -4887.2153639546          29 Nov 2024 01:29:19.806   5205.689008570472         -3091.766653895763        -3359.67543206103         29 Nov 2024 01:29:19.806   -261.6192948608306        -13047.28815742696        9105.93119386965          
29 Nov 2024 01:30:51.431   1219.299614702573         4811.586519733719         -4644.048332327543        29 Nov 2024 01:30:51.431   5132.223612173661         -2501.260533526214        -3784.593277180547        29 Nov 2024 01:30:51.431   43.1103259049649          -13237.37587956091        8977.211773113715         
29 Nov 2024 01:32:23.054   696.9952647086895         5176.163877028957         -4351.409483872422        29 Nov 2024 01:32:23.054   5005.424713389392         -1884.810931452101        -4170.027852814284        29 Nov 2024 01:32:23.054   347.7941510255988         -13416.63288214347        8841.152351645529         
29 Nov 2024 01:33:54.363   169.0993750821995         5484.781140207568         -4013.63439860969         29 Nov 2024 01:33:54.363   4825.776166993763         -1250.422632812111        -4509.610469921107        29 Nov 2024 01:33:54.363   651.159767629286          -13584.52002374827        8698.463935301843         
29 Nov 2024 01:35:24.481   -353.6810082286135        5732.616772987381         -3638.593020173311        29 Nov 2024 01:35:24.481   4596.86423592946          -610.9386259930985        -4796.394463969321        29 Nov 2024 01:35:24.481   950.0634087520759         -13739.69676519283        8550.897298646812         
29 Nov 2024 01:36:53.479   -866.4171250918471        5919.51982215694          -3231.365232438441        29 Nov 2024 01:36:53.479   4321.791303335312         27.11770782426093         -5028.33385063147         29 Nov 2024 01:36:53.479   1244.545640062093         -13882.70005871851        8398.783958077867         
29 Nov 2024 01:38:21.564   -1365.350598701263        6046.030972899158         -2796.287401944734        29 Nov 2024 01:38:21.564   4003.634546300272         658.345614898005          -5204.325755691824        29 Nov 2024 01:38:21.564   1535.109960587046         -14014.22230479605        8242.169045888881         
29 Nov 2024 01:39:48.924   -1846.938720016624        6112.798501907897         -2337.545028938272        29 Nov 2024 01:39:48.924   3645.722205834826         1277.424044435552         -5323.630199167014        29 Nov 2024 01:39:48.924   1822.210167321221         -14134.83466459742        8081.057208789321         
29 Nov 2024 01:41:15.764   -2307.95632437379         6120.571914141479         -1859.061324620922        29 Nov 2024 01:41:15.764   3251.501273902983         1879.342335659415         -5385.915903637687        29 Nov 2024 01:41:15.764   2106.347890445406         -14245.03696311482        7915.3639585376           
29 Nov 2024 01:42:42.287   -2745.357137285415        6070.127429110144         -1364.590557196843        29 Nov 2024 01:42:42.287   2824.542274247392         2459.321852168888         -5391.198164493875        29 Nov 2024 01:42:42.287   2388.031717111336         -14345.24001355422        7744.938269608591         
29 Nov 2024 01:44:08.698   -3156.187291693838        5962.242963690987         -857.7913527613734        29 Nov 2024 01:44:08.698   2368.536660413813         3012.790056390803         -5339.813400615099        29 Nov 2024 01:44:08.698   2667.762532459906         -14435.76240313443        7569.572812945667         
29 Nov 2024 01:45:35.201   -3537.51918079701         5797.698467903587         -342.2964289104361        29 Nov 2024 01:45:35.201   1887.29398913237          3535.36948287491          -5232.406261476173        29 Nov 2024 01:45:35.201   2946.025991960834         -14516.83058042946        7389.010395921826         
29 Nov 2024 01:47:01.997   -3886.394846345513        5577.297845067296         178.2125586558464         29 Nov 2024 01:47:01.997   1384.745671880683         4022.867950178243         -5069.925393899141        29 Nov 2024 01:47:01.997   3223.284428367956         -14588.57884036859        7202.950811566289         
29 Nov 2024 01:48:29.285   -4199.78696857938         5301.907152570951         699.9372519298828         29 Nov 2024 01:48:29.285   864.9440000585221         4471.280895895495         -4853.624150605427        29 Nov 2024 01:48:29.285   3499.973211996235         -14651.05046424438        7011.054700996949         
29 Nov 2024 01:49:57.260   -4474.570535852941        4972.508869831331         1218.894805008475         29 Nov 2024 01:49:57.260   332.0628011634731         4876.795908692511         -4585.065054761279        29 Nov 2024 01:49:57.260   3776.496393824797         -14704.19813838151        6812.947532131971         
29 Nov 2024 01:51:26.112   -4707.497513628547        4590.291344759316         1730.828658377757         29 Nov 2024 01:51:26.112   -209.5760539774454        5235.785288695186         -4266.143917144272        29 Nov 2024 01:51:26.112   4053.208926680473         -14747.88206290892        6608.233377919008         
29 Nov 2024 01:52:56.028   -4895.214854945328        4156.725694174072         2231.173636627696         29 Nov 2024 01:52:56.028   -755.5270279699598        5544.843858517994         -3899.093925255354        29 Nov 2024 01:52:56.028   4330.424050575773         -14781.87315740554        6396.490843757861         
29 Nov 2024 01:54:27.185   -5034.278747415297        3673.685469423801         2714.987233820545         29 Nov 2024 01:54:27.185   -1301.20421509379         5800.799761380853         -3486.514084153921        29 Nov 2024 01:54:27.185   4608.397116311357         -14805.85187733549        6177.285970001445         
29 Nov 2024 01:55:58.663   -5120.499950519167        3150.039047807281         3171.653277942754         29 Nov 2024 01:55:58.663   -1835.604783630178        5998.742292409394         -3036.95338990758         29 Nov 2024 01:55:58.663   4884.046870943508         -14819.31301005318        5952.885576408357         
29 Nov 2024 01:57:30.183   -5152.391049496307        2592.706779727056         3594.757048619776         29 Nov 2024 01:57:30.183   -2352.198313235025        6137.694017997701         -2557.163580101598        29 Nov 2024 01:57:30.183   5156.323073393031         -14822.15955142057        5724.113579148097         
29 Nov 2024 01:59:01.713   -5129.561718848455        2007.771872621861         3979.623033543155         29 Nov 2024 01:59:01.713   -2846.501839684917        6218.270567806186         -2052.893572336978        29 Nov 2024 01:59:01.713   5424.937650756813         -14814.38752624194        5491.211445242568         
29 Nov 2024 02:00:33.250   -5052.246535610184        1401.47400402378          4322.12442713264          29 Nov 2024 02:00:33.250   -3314.749855028704        6241.806531146589         -1529.678688597635        29 Nov 2024 02:00:33.250   5689.682485962769         -14795.99986237719        5254.35759418188          
29 Nov 2024 02:02:04.793   -4921.260734231309        780.2499089347049         4618.608516259758         29 Nov 2024 02:02:04.793   -3753.761329576415        6210.184438947565         -992.8472031316865        29 Nov 2024 02:02:04.793   5950.364153646622         -14766.9991158391         5013.717743790268         
29 Nov 2024 02:03:36.340   -4737.991594002187        150.7070223966002         4865.906288705189         29 Nov 2024 02:03:36.340   -4160.884213713432        6125.728033448607         -447.4925258579605        29 Nov 2024 02:03:36.340   6206.783748951617         -14727.38785288           4769.462262567968         
29 Nov 2024 02:05:07.888   -4504.389400550416        -480.4425322868109        5061.369284528932         29 Nov 2024 02:05:07.888   -4533.966252129158        5991.114757760585         101.568491058922          29 Nov 2024 02:05:07.888   6458.735620216444         -14677.16994634223        4521.768126711689         
29 Nov 2024 02:06:39.437   -4222.934687819235        -1106.489365497793        5202.910412390873         29 Nov 2024 02:06:39.437   -4871.339846102743        5809.285253302772         649.856054394376          29 Nov 2024 02:06:39.437   6706.021536502807         -14616.34811867575        4270.80524205047          
29 Nov 2024 02:08:10.981   -3896.626845679691        -1720.757002980878        5289.013211179424         29 Nov 2024 02:08:10.981   -5171.755729191709        5583.377898398834         1193.206874694436         29 Nov 2024 02:08:10.981   6948.433763973519         -14544.92731359748        4016.753080867202         
29 Nov 2024 02:09:42.520   -3528.941856868757        -2316.701573424678        5318.757186085822         29 Nov 2024 02:09:42.520   -5434.356734527627        5316.659453909322         1727.803456657845         29 Nov 2024 02:09:42.520   7185.766149316767         -14462.91259393549        3759.789858820067         
29 Nov 2024 02:11:14.049   -3123.798289578973        -2887.97341131766         5291.825165043738         29 Nov 2024 02:11:14.049   -5658.62998102514         5012.473640448418         2250.162854396959         29 Nov 2024 02:11:14.049   7417.810498806933         -14370.30990108869        3500.096120620052         
29 Nov 2024 02:12:45.566   -2685.52070411148         -3428.479577977449        5208.50853561139          29 Nov 2024 02:12:45.566   -5844.364334612133        4674.201772465525         2757.121141101195         29 Nov 2024 02:12:45.566   7644.353936762324         -14267.12740231956        3237.85789619729          
29 Nov 2024 02:14:17.066   -2218.787428793287        -3932.459524172137        5069.705180059152         29 Nov 2024 02:14:17.066   -5991.616629577118        4305.223633272715         3245.82782545806          29 Nov 2024 02:14:17.066   7865.182544023729         -14153.37431684182        2973.262818325536         
29 Nov 2024 02:15:48.548   -1728.571624565861        -4394.554001031608        4876.905585985342         29 Nov 2024 02:15:48.548   -6100.677455393306        3908.883040763717         3713.735712735391         29 Nov 2024 02:15:48.548   8080.084399218204         -14029.05875587562        2706.496074749897         
29 Nov 2024 02:17:20.009   -1220.101788853791        -4809.846731376029        4632.180329785316         29 Nov 2024 02:17:20.009   -6172.034499831793        3488.478210404856         4158.566569887403         29 Nov 2024 02:17:20.009   8288.842407364371         -13894.19110755518        2437.748790568191         
29 Nov 2024 02:18:51.447   -698.7943792999656        -5173.928237274096        4338.153674086583         29 Nov 2024 02:18:51.447   -6206.347371869369        3047.237809217459         4578.302440290096         29 Nov 2024 02:18:51.447   8491.239022378939         -13748.78123151726        2167.212116183692         
29 Nov 2024 02:20:22.861   -170.2022919797661        -5482.936790082138        3997.977819912485         29 Nov 2024 02:20:22.861   -6204.421591278055        2588.316168571507         4971.159495433139         29 Nov 2024 02:20:22.861   8687.052901570485         -13592.84018884268        1895.081240682918         
29 Nov 2024 02:21:54.250   360.0550566405246         -5733.605304303269        3615.291925161235         29 Nov 2024 02:21:54.250   -6167.187201794161        2114.777933322969         5335.576353157256         29 Nov 2024 02:21:54.250   8876.062247488086         -13426.37716142587        1621.550462329613         
29 Nov 2024 02:23:25.615   886.3471436167943         -5923.290312561056        3194.183831449535         29 Nov 2024 02:23:25.615   -6095.679106142363        1629.598463130469         5670.190837082767         29 Nov 2024 02:23:25.615   9058.042201094555         -13249.4003939873         1346.816039463922         
29 Nov 2024 02:24:56.956   1403.086667437228         -6049.997163045742        2739.150267964149         29 Nov 2024 02:24:56.956   -5991.022560329596        1135.668461779291         5973.819093458827         29 Nov 2024 02:24:56.956   9232.762319516847         -13061.91903402092        1071.07958130788          
29 Nov 2024 02:26:28.277   1904.801504032181         -6112.403372017441        2255.037201049561         29 Nov 2024 02:26:28.277   -5854.418081480497        635.7833074365523         6245.447201450557         29 Nov 2024 02:26:28.277   9399.990264516135         -12863.9385130114         794.5417773277225         
29 Nov 2024 02:27:59.579   2386.180833082979         -6109.866837940691        1746.996761418391         29 Nov 2024 02:27:59.579   -5687.132680013854        132.6566790106435         6484.209218812239         29 Nov 2024 02:27:59.579   9559.487114615533         -12655.46433351267        517.4089493211134         
29 Nov 2024 02:29:30.866   2842.128527896843         -6042.433601739505        1220.436197482922         29 Nov 2024 02:29:30.866   -5490.494115945484        -371.0718921661631        6689.373975866111         29 Nov 2024 02:29:30.866   9711.005924189543         -12436.50380732179        239.8954567429905         
29 Nov 2024 02:31:02.140   3267.831990468039         -5910.834113408388        680.9425506237686         29 Nov 2024 02:31:02.140   -5265.87853883659         -872.8489922661807        6860.340991489814         29 Nov 2024 02:31:02.140   9854.29615229109          -12207.05885157452        -37.78496165822192        
